Voter_ID,Full_Name,Father_Mother_Name,Date_of_Birth,Gender,Address,City,State,PIN_Code,Polling_Station,Registration_Date
UCW7577361,Avni Ramakrishnan,Jackson Koshy,2000-02-14,Male,"H.No. 560, Kakar Ganj, Panvel-285898",Anand,West Bengal,843976,PS-014,2020-01-14
DHJ2017493,Kala Sibal,Amruta Tata,1979-12-07,Female,"45/35, Sarkar Ganj, Phusro-466986",Chinsurah,Tamil Nadu,421254,PS-012,2022-03-14
VDF9708421,Vihaan Bhatti,Aditya Ramaswamy,1974-01-30,Female,"03/910, Pall Road, Patna-608941",Hosur,Rajasthan,913599,PS-046,2018-11-14
VWY9644878,Geetika Ravi,Udant Vasa,1940-10-05,Male,"480, Dass Road, Chittoor-000940",Gurgaon,Rajasthan,737624,PS-002,2018-10-05
CGE1709645,Ranveer Rout,Baghyawati Mishra,1967-03-28,Other,"98, Dube Chowk, Karimnagar 614973",Indore,West Bengal,241714,PS-044,2022-09-01
DSH0250474,Edhitha Miutry,Radhika Padmanabhan,1947-01-22,Other,"405, Bera Circle, Karaikudi 140369",Ratlam,Uttar Pradesh,666832,PS-001,2023-12-26
GWB0122807,Anmol Bail,Gautam Nath,1982-11-28,Female,"35/83, Wason Street, Berhampur 255638",Ahmedabad,Rajasthan,081867,PS-024,2016-08-16
TGC0764296,Libni Choudhury,Tanmayi Keer,1949-01-11,Male,"46/24, Tandon Circle, Thiruvananthapuram-865392",Munger,Kerala,141349,PS-037,2019-04-28
WEF7387209,Pranit Memon,Harshil Buch,1979-07-15,Male,"96, Sawhney Street, Amroha 596401",Bharatpur,Tamil Nadu,029702,PS-047,2017-01-18
RWQ4618617,Amol Reddy,Ishwar Sibal,1952-02-15,Other,"H.No. 732, Choudhury Circle, Ajmer-087392",Navi Mumbai,Tamil Nadu,691573,PS-031,2023-09-28
OFM5172256,Upkaar Ravel,Maya Chaudhuri,1964-11-30,Other,"235, Mani Road, Bareilly 897432",Coimbatore,Karnataka,257207,PS-026,2023-03-10
VKT4159474,Gaurang Chaudhry,Lila Chaudhari,2004-06-02,Other,"70/669, Dani Nagar, Malda-372982",Begusarai,Maharashtra,348649,PS-019,2023-08-19
HVK3184445,Tanmayi Mannan,Lakshit Sura,1975-04-20,Other,"H.No. 188, Mand Street, Narasaraopet-264222",Thanjavur,Kerala,704542,PS-019,2017-09-11
OSX4657584,E. De,Garima Ramachandran,1994-05-07,Other,"37/84, Savant Chowk, Guntakal 743450",Danapur,Delhi,938062,PS-026,2021-05-29
JCJ1432604,Isaac Dey,Mitesh Sem,1973-10-04,Female,"76, Kibe Ganj, Rourkela-203886",Srinagar,Punjab,508019,PS-012,2022-06-28
DYE5057984,Ishaan Sehgal,Ekalinga Lalla,1957-05-20,Male,"H.No. 370, Sharma Circle, Aligarh-602041",Noida,Tamil Nadu,998989,PS-013,2023-07-16
DRO3920102,Isha Vala,Banjeet Srinivas,1944-02-17,Female,"482, Chaudhuri Nagar, Kishanganj 008385",Sultan Pur Majra,Delhi,597595,PS-045,2020-10-02
GAS0716011,Wahab Nagarajan,Mason Khatri,1978-09-07,Male,"H.No. 878, Cheema Path, Karnal-749079",Mehsana,West Bengal,120878,PS-041,2016-11-19
AER7814337,Leena Doctor,Yashasvi Tank,1955-11-09,Other,"93/70, Nadkarni Circle, Silchar-350405",Eluru,West Bengal,790012,PS-043,2020-08-30
PDW5832953,Vivaan Munshi,Nimrat Kala,1965-12-06,Male,"H.No. 89, Chand Chowk, Meerut-707812",Naihati,Delhi,613049,PS-041,2021-01-14
CFE5156358,Panini Wagle,Mekhala Bala,1959-06-19,Other,"92/213, Srivastava Zila, Tiruchirappalli 866399",Panvel,Gujarat,987287,PS-048,2019-05-12
HVW5364256,Xavier Subramaniam,Bachittar Raja,1970-12-17,Male,"H.No. 87, Korpal Path, Bhiwandi 425542",North Dumdum,Punjab,764255,PS-010,2016-05-31
PIX3123411,Niharika Oommen,Hiral Lal,1961-02-28,Female,"H.No. 17, Nagar Zila, Lucknow-131251",Aurangabad,Karnataka,110059,PS-001,2017-02-07
KCI6596845,Ekansh Dora,Tejas Tiwari,1996-12-20,Other,"97/70, Wali Nagar, Ahmedabad 848408",Mangalore,Karnataka,182339,PS-016,2024-11-11
VTK3671580,Ayaan Toor,Ekapad Thakkar,1959-07-29,Female,"96/804, Dalal, Akola-420495",Bhubaneswar,Karnataka,137730,PS-004,2022-06-30
DJM5647828,Faras Sidhu,Dhriti Ravel,1986-09-09,Male,"H.No. 63, Chopra Road, Solapur-950342",Amritsar,Kerala,904383,PS-007,2016-06-16
GPT1164109,Hritik  Bali,Upasna Dani,1969-05-05,Female,"H.No. 01, Jha Zila, Udaipur 012495",Nanded,Gujarat,891190,PS-023,2024-11-26
JRU8615321,Warhi Lanka,Kavya Mahajan,1973-12-12,Female,"52/95, Sehgal Ganj, Nizamabad-376768",Ichalkaranji,Maharashtra,420767,PS-029,2021-12-09
DEP3203338,Pavani Chaudhry,Ganga Bakshi,1944-02-19,Other,"97, Dash Chowk, Agra 493881",Chapra,Tamil Nadu,531520,PS-002,2020-04-02
MNL7372211,Jason Deshmukh,Siya Gera,1995-06-27,Male,"51/884, Dugar Road, Mirzapur 132370",Begusarai,Kerala,782911,PS-049,2021-03-02
DCO2672624,Ishwar Kar,Amaira Dhar,1944-08-16,Male,"H.No. 99, Sarna Road, Bhind 648877",Khora ,Karnataka,659401,PS-041,2019-10-20
GMC9423697,Caleb Roy,Wazir Sawhney,1973-09-07,Male,"34/73, Sastry Path, Ichalkaranji-886239",Chandrapur,Gujarat,758181,PS-007,2020-10-03
CKZ3200831,Chaman Kala,Raksha Kunda,2006-03-24,Other,"680, Mahajan Marg, Agra-739834",Hosur,Maharashtra,842536,PS-005,2020-12-22
ZDZ4262957,Zaitra Deo,Balhaar Sharaf,1987-08-29,Female,"H.No. 09, Nath Zila, Ranchi 840943",Kollam,West Bengal,448571,PS-035,2020-07-18
XAV3246081,Ayaan Atwal,Rehaan Bhatnagar,1964-12-04,Other,"20/681, Naidu Path, Dhule 613315",Malegaon,West Bengal,650637,PS-050,2019-08-26
RGV0435776,Avi Sarkar,Qadim Kuruvilla,1985-10-16,Female,"791, Dada Zila, Howrah-184668",Kavali,Gujarat,213596,PS-007,2017-11-28
NKN4825326,isaiah vohra,Aditya Mitter,1953-07-24,Other,"33, Sridhar Chowk, Kakinada 268812",Sasaram,Delhi,178192,PS-021,2020-02-10
KWT3517549,Vedhika Bains,Tanvi Mohanty,2002-09-09,Female,"99/464, Upadhyay Zila, Narasaraopet 167347",Tiruppur,Gujarat,988164,PS-038,2025-11-05
FUO1893749,Omkaar Krish,Jagat Pall,1973-07-21,Other,"31/535, Roy Nagar, Udaipur 168455",North Dumdum,Uttar Pradesh,741025,PS-001,2020-09-20
OEL2666799,Shaurya Nagar,Falan Sandal,1943-04-06,Male,"91, Raja Ganj, Vijayawada-711713",Navi Mumbai,Karnataka,024702,PS-007,2024-10-06
JIF7809750,Darpan Sani,Sanaya Arora,1946-12-01,Other,"91/945, Parmar Chowk, Uluberia 475833",Kalyan-Dombivli,West Bengal,677567,PS-007,2023-10-22
QRN2442740,Darsh Manda,Anita Khurana,1943-08-08,Female,"85, Kala Zila, Jhansi 483747",Nagercoil,Karnataka,309016,PS-023,2024-09-09
RNH5140242,Adweta Madan,Sanya Swamy,1982-06-26,Other,"30/293, Dasgupta Nagar, Jalgaon-018607",Tirunelveli,Karnataka,695222,PS-004,2019-10-08
FNY1950067,Mitesh Prasad,Gautami Garde,1993-06-07,Other,"960, Sanghvi, Pali-658263",Cuttack,Uttar Pradesh,964825,PS-007,2019-05-17
VXF5184674,Onkar Bhasin,Sai Madan,1942-02-17,Other,"H.No. 645, Bahl Zila, Kharagpur-681579",Gaya,West Bengal,878003,PS-004,2024-11-29
KWS4947389,Baljiwan Bora,Kavya Balan,1958-08-06,Other,"76/298, Hayre Ganj, Pallavaram 433268",Chandigarh,Punjab,130205,PS-007,2022-11-06
FAA5181232,Maanas Nigam,Jagrati Golla,1965-02-25,Other,"82/863, Mammen Nagar, Kolhapur 629917",Navi Mumbai,Delhi,429220,PS-018,2021-01-16
HQP7922611,Janani Mani,Libni Thaman,1996-03-14,Male,"165, Pau Path, Davanagere 800025",Kadapa,Delhi,298259,PS-001,2021-04-29
WIK2205950,Ekaja Bora,Warhi Jhaveri,1937-01-11,Other,"140, Narayanan Ganj, Pali 560229",Rampur,Punjab,943460,PS-046,2022-12-25
SLW9136000,Samar Karpe,Girik Master,1996-07-12,Male,"720, Madan, Rajkot-767063",Muzaffarnagar,Rajasthan,863011,PS-045,2018-04-05
PRI2131355,Abeer Rout,Oeshi Gill,1997-10-20,Female,"648, Basak Chowk, Bhimavaram-787300",Firozabad,Delhi,714627,PS-032,2020-01-26
CCY4798728,Warinder Sarna,Jackson Thaker,2003-01-08,Male,"39, Rattan Path, Guntur-678305",Shimla,Uttar Pradesh,713887,PS-049,2020-10-12
EMD7269710,Charan Sane,Hritik Soni,1994-05-28,Other,"H.No. 221, Bhagat Path, Coimbatore-188421",Kurnool,Gujarat,900159,PS-050,2020-08-15
FVR0419605,UnnatiySalvi,Triya Bala,1938-07-03,Other,"943, Vala, Warangal-062607",Meerut,Maharashtra,041591,PS-037,2020-11-06
DCJ9531640,Jai Vasa,Diya Anand,1936-07-07,Male,"15/59, Grover Road, Patiala-795527",Bhagalpur,Delhi,556472,PS-046,2025-08-17
VFB4021465,Azaan Rama,Nihal Sangha,1988-05-20,Male,"73, Bhatt Path, Morbi 455337",Katni,Punjab,697648,PS-002,2023-06-01
RXI6617056,Nicholas Kala,Umang Jhaveri,1971-07-13,Female,"07/229, Kapur Nagar, Narasaraopet-466574",Kirari Suleman Nagar,Delhi,896910,PS-043,2024-08-10
QVU5169195,Lohit Amble,Nikita Ganguly,1961-01-23,Female,"H.No. 22, Dhar Ganj, Bokaro 824084",Khammam,Tamil Nadu,835999,PS-007,2020-12-17
GDK1043542,Luke Biswas,Nitesh Sarraf,1982-09-14,Other,"97, Chadha Ganj, Kolhapur-965652",Bally,Maharashtra,389994,PS-047,2016-05-12
SRQ4933165,Aarush Nagy,Jagvi Bath,1979-03-18,Female,"76/91, Sangha Path, Salem-493289",Warangal,Karnataka,148727,PS-031,2017-11-15
GGB2103798,Dayamai Oza,Jyoti Anand,2005-05-13,Female,"880, Padmanabhan Marg, Kollam-153779",Adoni,Uttar Pradesh,946521,PS-023,2023-08-20
CIZ3042751,Mahika Raman,Barkha Mandal,1961-06-17,Male,"590, Shankar Road, Gangtok-774233",Bangalore,Delhi,912662,PS-040,2016-11-12
RSQ9720866,Michael De,Faraj Sathe,1990-07-17,Other,"47/71, Bhasin Street, Mirzapur-061848",Barasat,Delhi,235434,PS-017,2016-10-26
JVC4504397,Nathaniel Kamdar,Yochana Shah,2003-06-23,Male,"448, Garg Zila, Ranchi 402424",Kulti,Karnataka,810595,PS-026,2021-06-05
GSQ8206576,Daksh Sawhney,Dipta Chatterjee,1972-09-02,Other,"H.No. 52, Peri, Sambhal-013824",Malegaon,Gujarat,049386,PS-019,2018-11-06
IGO3573490,Anvi Banik,Manbir Vig,1974-02-28,Male,"H.No. 95, Mohanty Road, Tezpur 774222",Yamunanagar,Gujarat,303942,PS-039,2025-11-05
LGT9055207,Harini Goyal,Ranveer Johal,1999-05-20,Male,"82/17, Puri Marg, Jehanabad 284117",Faridabad,Punjab,034465,PS-034,2017-01-23
VWH7291492,Urvi Dua,Aditya Mitra,1992-03-09,Female,"92/61, Dalal Circle, Raipur 739348",Secunderabad,Rajasthan,420873,PS-002,2024-01-31
NDA9799195,Harish Chakrabarti,Arunima Acharya,1993-01-13,Other,"82, Chatterjee Nagar, Panipat 223023",Davanagere,Rajasthan,470739,PS-042,2018-03-12
ISO8636837,Manya Hayer,Finn Bakshi,1965-08-13,Female,"325, Bhatnagar Road, Bhopal-609543",Bhalswa Jahangir Pur,Delhi,505831,PS-012,2023-05-14
GDU3537241,Mitali Bava,Max D’Alia,1963-02-11,Male,"76/720, Chakraborty Zila, Gorakhpur-612201",Amroha,Tamil Nadu,587339,PS-018,2019-07-20
ZAY4583365,Qushi Raval,Sudiksha Ravi,1939-11-08,Other,"H.No. 267, Kashyap Chowk, Madanapalle-276075",Tinsukia,Gujarat,533943,PS-003,2017-11-13
OWR7209002,Lakshmi Manda,Imaran Sur,1996-04-05,Female,"H.No. 902, Chauhan Chowk, Medininagar 716115",Khandwa,Tamil Nadu,119976,PS-032,2023-05-14
AAY1341327,Fitan Chokshi,Manan Nath,1976-07-28,Male,"44, Pradhan Marg, Bokaro-544118",Katihar,Maharashtra,136738,PS-018,2016-03-20
KFN3165532,Anirudh Raja,Varsha Sundaram,1981-09-24,Other,"H.No. 20, Kanda Path, Parbhani 785932",Shahjahanpur,Maharashtra,480396,PS-001,2021-12-10
LOL3823363,Sarthak Mitter,Gaurav Thakur,1941-07-20,Male,"20/02, Wadhwa Path, Haldia-337773",Kollam,Kerala,678719,PS-007,2018-08-23
TAJ7207554,Chanakya Shetty,Balveer Dara,2001-07-18,Other,"H.No. 954, Nazareth Marg, Nagpur-245607",Bihar Sharif,Delhi,915086,PS-035,2020-02-19
LYX6619563,Ishwar Sidhu,Lohit Kara,1988-12-29,Other,"04, Dasgupta Circle, Arrah 965137",Udupi,Gujarat,931746,PS-036,2017-11-21
DWZ9280197,Yadavi Bala,Onveer Kari,1999-01-30,Female,"65/487, Mand Nagar, Amroha 417675",Panihati,Maharashtra,889073,PS-045,2023-10-12
YYW8061402,Sudiksha Wable,Ansh Ratti,1974-11-23,Other,"H.No. 035, Dora Marg, Rajahmundry 873959",Maheshtala,Tamil Nadu,342108,PS-014,2016-07-30
XKB1110713,Om Sathe,Mugdha Barad,1951-06-28,Other,"40/81, Luthra Zila, Vijayawada 728143",Coimbatore,West Bengal,686114,PS-031,2022-06-26
UBE3682479,Raata Bhat,Lipika Mammen,1965-06-15,Male,"97/317, Basu Ganj, Kamarhati 496757",Mau,Maharashtra,048480,PS-028,2025-11-20
KPN1268808,Manthan Kohli,Sarthak Dhar,1970-03-31,Female,"86/69, Date Ganj, Jorhat-178376",Jehanabad,Uttar Pradesh,538201,PS-021,2017-07-31
FDC8178803,Jagrati Tripathi,Onkar Golla,1974-11-22,Other,"482, Chakraborty Path, Raichur 465549",Madhyamgram,Delhi,709991,PS-039,2023-12-10
YBK1878927,Wridesh Taneja,Brinda Tandon,1997-04-22,Other,"88, Din Zila, Latur 512180",Dehradun,Uttar Pradesh,799096,PS-026,2022-10-23
JAD0890391,Damyanti Prasad,Ansh Agate,1988-05-05,Male,"25, Anand Path, Nanded-017365",Bikaner,Uttar Pradesh,241784,PS-049,2019-01-12
IDD6573525,Mitali Toor,Yachana Sagar,1992-07-22,Female,"88/924, Mukherjee Zila, Sasaram-285691",Junagadh,Karnataka,031617,PS-045,2016-11-03
POJ3402274,Vasudha Kara,Aishani Minhas,1946-03-05,Female,"31/170, Arya Ganj, Bhind 371539",Bijapur,Delhi,281235,PS-044,2022-06-19
PWR7721965,Triya Kuruvilla,Lakshmi Karan,1980-07-02,Female,"52/24, Ratta Chowk, Arrah 258379",Ghaziabad,Tamil Nadu,366933,PS-043,2018-03-22
CAK0604374,NQtra Prakash,Ekani Balakrishnan,1938-06-04,Male,"02, Batra Marg, Khora  210531",Amritsar,Kerala,776872,PS-018,2015-12-02
CAW3822612,Nathaniel Dalal,Tristan Pall,1941-05-29,Other,"H.No. 266, Rana Chowk, Tirunelveli 284539",Bilaspur,Maharashtra,070886,PS-039,2021-01-12
TUK5896939,G. Varghese,Aarna Kamdar,1998-07-23,Female,"H.No. 827, Sibal Street, Serampore 905150",Bidar,Karnataka,551254,PS-035,2018-09-04
DXH6211764,Kalpit Deshmukh,Rudra Sura,1988-09-16,Other,"146, Chakraborty Path, Haridwar-553559",Farrukhabad,West Bengal,597927,PS-049,2016-09-01
FEK2356461,Amaira Bhagat,Nidhi Khosla,1975-07-12,Female,"597, Dash Chowk, Nashik 154773",Srikakulam,Tamil Nadu,314872,PS-019,2018-11-06
TEF3593993,Ayush Ghose,Sai Bhardwaj,1968-11-10,Female,"H.No. 534, Shetty Path, Amravati 357972",Dharmavaram,Karnataka,524140,PS-038,2022-06-26
GPG5592350,Mitesh Gour,Irya Ravel,1942-09-08,Male,"53/50, Kibe Marg, Sambalpur-180467",Vasai-Virar,Uttar Pradesh,075384,PS-041,2017-12-25
LOA3686099,Dayita Pal,Onkar Mutti,2003-05-14,Female,"03, Magar Nagar, Mahbubnagar-467541",Mathura,West Bengal,881013,PS-018,2025-04-03
JBO8879675,Krish Narula,Turvi Sehgal,1983-09-25,Male,"12/91, Dey Road, Firozabad 108099",Gudivada,Tamil Nadu,084887,PS-009,2018-06-08
PKX0336763,Gaurangi Dhawan,Girish Gara,1963-03-04,Female,"H.No. 269, Virk Chowk, Allahabad-464520",Buxar,Rajasthan,043878,PS-048,2024-05-29
COK2434293,Farhan Pillay,Adweta Chaudry,2005-03-19,Female,"H.No. 16, Sankar Marg, Hosur-239278",Bally,Delhi,909863,PS-026,2022-12-27
TFU1366162,Damyanti Reddy,Nathan Bail,1967-12-10,Male,"H.No. 86, Chawla Ganj, Chandrapur-706462",Dindigul,West Bengal,026355,PS-045,2025-02-25
FJE9995413,Faqid Dixit,Kala Divan,1993-05-26,Female,"H.No. 50, Kade Path, Kota-869232",Haridwar,Tamil Nadu,256342,PS-004,2017-09-29
XSG4969249,Amrita Madan,Yochana Kari,1977-07-06,Female,"35/43, Vasa Path, Alwar 963924",Mirzapur,Gujarat,379821,PS-011,2020-11-12
CRO0795606,Geetika Babu,Upma Chandran,1991-05-26,Female,"H.No. 56, Munshi Zila, Pudukkottai 647715",Bhopal,Karnataka,002156,PS-013,2019-10-04
CRM9333134,Prisha Pingle,Kashish Arora,1973-08-25,Male,"H.No. 78, Kale Zila, Vijayanagaram 426629",Asansol,Gujarat,478519,PS-040,2022-04-19
DRS9540043,Chanchal Kar,Bhavya Johal,2001-06-17,Female,"H.No. 84, Dara Road, Tenali 240415",Bardhaman,Maharashtra,338484,PS-006,2018-03-29
KNA4814902,Tanveer Rana,Yashasvi Buch,1949-11-09,Male,"64/971, Rout, Indore-833539",Patna,Uttar Pradesh,612590,PS-045,2017-11-02
RMN7132745,Warjas Dhar,Warda Dugar,1992-10-30,Other,"58/55, Nair Circle, Bokaro 252516",Ambala,West Bengal,759171,PS-047,2016-11-02
XYK5298384,Watika Chaudhry,Yahvi Bali,1974-05-13,Male,"786, Hayre Zila, Amravati-766053",Agartala,Gujarat,463060,PS-042,2016-03-03
HUG5462675,Isaiah Vohra,Aditya Mitter,1953-07-24,Other,"33, Sridhar Chowk, Kakinada 268812",Sasaram,Delhi,178192,PS-021,2020-02-10
FRK0305578,Vincent Devan,Nimrat Handa,1943-04-22,Male,"H.No. 082, Ratta Ganj, Ajmer 902220",Dindigul,West Bengal,061790,PS-037,2023-04-02
DRU0071334,Krishna Mukherjee,Gunbir Ramanathan,1964-02-09,Other,"H.No. 38, Bhargava Ganj, Ludhiana 435294",Surat,Delhi,417996,PS-013,2021-04-01
KDH0116480,Amaira Bhagat,Nidhi Khosla,1975-07-12,Female,"597, Dash Chowk, Nashik 154773",Srikakulam,Tamil Nadu,314872,PS-019,2018-11-06
LLL4057987,Ishani Som,Charles Dalal,2005-01-21,Other,"630, Khosla Zila, Unnao 926176",Raiganj,Tamil Nadu,011117,PS-002,2024-07-30
QWY9335102,Farhan Pillay,Adweta Chaudry,2005-03-19,Female,"H.No. 16, Sankar Marg, Hosur-239278",Bally,Delhi,909863,PS-026,2022-12-27
STW6746124,Jacob Pillai,Rishi Oza,1994-04-26,Female,"190, Sachar Ganj, Kanpur 010272",Varanasi,Kerala,593429,PS-040,2022-09-03
IYS4444059,Dev Sama,Gautami Panchal,1949-11-14,Female,"20/450, Chandra Street, Bhagalpur 312794",Rajahmundry,Karnataka,953111,PS-049,2018-04-29
HWR7368819,Advay Bhatti,Jeremiah Kapoor,1964-07-01,Other,"42, Yohannan Street, North Dumdum 677153",Gulbarga,Rajasthan,624736,PS-034,2021-06-05
KZV4325187,Yug Keer,Frado Bhatti,1976-05-28,Other,"085, Sharma Nagar, Tezpur 407905",Aurangabad,Maharashtra,591713,PS-003,2021-08-15
QGV5036307,Meghana Amble,Upadhriti Bawa,1960-03-08,Other,"18, Konda Road, Salem-209567",Bellary,Gujarat,297323,PS-047,2025-07-12
WEU2761448,Vedant Sani,Libni Walia,1941-06-14,Female,"25/482, Datta Road, Proddatur-854540",Haldia,Punjab,454752,PS-009,2019-04-03
ICF5497775,Lakshit Zachariah,Ganga Natt,1942-02-17,Male,"H.No. 06, Sen Path, Nagercoil-562392",Hindupur,Kerala,855107,PS-039,2021-03-04
NEF9739420,Bhavini Borde,Hemani Dyal,1977-07-01,Other,"078, Gade Circle, Singrauli-119214",Pallavaram,Rajasthan,452030,PS-031,2018-03-19
FFS6917915,Geetika Sawhney,Bhavini Choudhry,1956-02-15,Other,"28/20, Sampath Marg, Begusarai 984362",Tiruchirappalli,Rajasthan,236903,PS-046,2022-07-31
YDU1143137,Ayushman Savant,Advaith Varughese,1944-05-17,Female,"H.No. 62, Bhat Marg, Vadodara 908466",Satara,Gujarat,048926,PS-030,2023-07-01
LLB3426146,Benjamin Kumer,Robert Bali,1987-07-11,Other,"88/249, Narayanan Ganj, Farrukhabad-018167",Dibrugarh,Karnataka,816524,PS-019,2020-03-24
LAM3417611,Xalak Sant,Nathaniel Sura,1943-01-15,Other,"H.No. 579, Dhaliwal Road, Kadapa 367042",Bijapur,Karnataka,919284,PS-021,2021-09-16
XQB2998026,Nisha Bhargava,Jonathan Deo,1968-11-20,Male,"672, Luthra, Gandhinagar-116845",Morbi,Maharashtra,901751,PS-022,2024-12-30
BZY3647219,Rachit Doctor,Timothy Morar,1979-12-18,Other,"H.No. 090, Batra Marg, Sambalpur 886843",Saharanpur,Kerala,166732,PS-020,2016-01-07
AAJ6545085,Darika Saxena,Ryan Misra,1946-12-02,Male,"33, Bhardwaj Nagar, Ranchi 065658",New Delhi,West Bengal,453856,PS-012,2022-02-14
MEN5928225,Damini Dubey,Darsh Deshpande,2004-09-04,Female,"16/417, Agarwal Nagar, Thiruvananthapuram-186056",Hosur,West Bengal,316647,PS-008,2025-09-22
XEP7136853,Lakshit Korpal,Omya Tank,2007-07-21,Other,"19, Vyas Marg, Chandigarh-503058",Guntur,Tamil Nadu,055247,PS-018,2018-05-11
LBJ1968390,Vasatika Ramakrishnan,Bahadurjit Sani,1935-09-15,Other,"17/35, Dass Chowk, Bhilai 250698",Uluberia,Gujarat,646398,PS-028,2023-07-11
SFZ2149592,Chameli Chaudhry,Banjeet Muni,1992-02-03,Other,"H.No. 02, Chandra Zila, Aligarh 075681",Kozhikode,Tamil Nadu,152291,PS-021,2016-03-11
WGN4539571,Azaan Soni,Akshay Chowdhury,1946-08-16,Female,"84/40, Srinivasan, Jamnagar-166007",Kirari Suleman Nagar,Karnataka,209014,PS-010,2020-09-11
XCG6165669,Tripti Bajwa,Ubika Devi,1990-01-28,Female,"70/165, Bali Circle, Purnia-989319",Pimpri-Chinchwad,Uttar Pradesh,016579,PS-007,2016-08-07
KYC2196456,Warinder Sarna,Jackson Thaker,2003-01-09,Male,"39, Rattan Path, Guntur-678305",Shimla,Uttar Pradesh,713887,PS-049,2020-10-12
UFE2776106,Janya Comar,Pranit Bala,1997-09-25,Male,"H.No. 16, Dewan Chowk, New Delhi-266179",Ballia,Gujarat,886805,PS-029,2025-01-15
QQV7196829,Gautam Mani,Yatan Munshi,1982-08-16,Female,"37/287, Ravi Path, Chapra-302656",Sirsa,Gujarat,115882,PS-025,2017-01-03
